height,timestamp,human_date,txs_count,vm_status,type,gas_used,max_gas_amount,gas_unit_price
19981857,1667302274342086,2022-11-01T11:31:14,3,Executed successfully,block_metadata_transaction,0,NA,NA
19981858,1667302274342086,2022-11-01T11:31:14,9,Executed successfully,user_transaction,2515,10000,101
19981859,1667302274342086,2022-11-01T11:31:14,7,Executed successfully,user_transaction,1509,10000,101
19981857,1667302274342086,2022-11-01T11:31:14,3,Executed successfully,block_metadata_transaction,0,NA,NA
19981858,1667302274342086,2022-11-01T11:31:14,9,Executed successfully,user_transaction,2515,10000,101
19981859,1667302274342086,2022-11-01T11:31:14,7,Executed successfully,user_transaction,1509,10000,101
19000000,1667218239762818,2022-10-31T12:10:39,0,Executed successfully,state_checkpoint_transaction,0,NA,NA
19000001,1667218240005847,2022-10-31T12:10:40,3,Executed successfully,block_metadata_transaction,0,NA,NA
19000002,1667218240005847,2022-10-31T12:10:40,10,Executed successfully,user_transaction,3160,10000,101
19000003,1667218240005847,2022-10-31T12:10:40,14,Executed successfully,user_transaction,4048,7968,101
19000004,1667218240005847,2022-10-31T12:10:40,0,Executed successfully,state_checkpoint_transaction,0,NA,NA
19000005,1667218240208327,2022-10-31T12:10:40,3,Executed successfully,block_metadata_transaction,0,NA,NA
19000006,1667218240208327,2022-10-31T12:10:40,5,Executed successfully,user_transaction,1538,2000,101
19000007,1667218240208327,2022-10-31T12:10:40,0,Executed successfully,state_checkpoint_transaction,0,NA,NA
19000008,1667218240408480,2022-10-31T12:10:40,3,Executed successfully,block_metadata_transaction,0,NA,NA
19000009,1667218240408480,2022-10-31T12:10:40,5,Executed successfully,user_transaction,1538,2000,101
19000010,1667218240408480,2022-10-31T12:10:40,10,Executed successfully,user_transaction,3158,10000,101
19000011,1667218240408480,2022-10-31T12:10:40,5,Executed successfully,user_transaction,1538,2000,101
19000012,1667218240408480,2022-10-31T12:10:40,0,Executed successfully,state_checkpoint_transaction,0,NA,NA
19000013,1667218240660560,2022-10-31T12:10:40,3,Executed successfully,block_metadata_transaction,0,NA,NA
19000014,1667218240660560,2022-10-31T12:10:40,0,Executed successfully,state_checkpoint_transaction,0,NA,NA
19000015,1667218240857523,2022-10-31T12:10:40,3,Executed successfully,block_metadata_transaction,0,NA,NA
19000016,1667218240857523,2022-10-31T12:10:40,22,Executed successfully,user_transaction,6161,200000,101
19000017,1667218240857523,2022-10-31T12:10:40,0,Executed successfully,state_checkpoint_transaction,0,NA,NA
19000018,1667218241080093,2022-10-31T12:10:41,3,Executed successfully,block_metadata_transaction,0,NA,NA
19000019,1667218241080093,2022-10-31T12:10:41,9,Executed successfully,user_transaction,1548,2968,101
19000020,1667218241080093,2022-10-31T12:10:41,0,Executed successfully,state_checkpoint_transaction,0,NA,NA
19000021,1667218241335562,2022-10-31T12:10:41,3,Executed successfully,block_metadata_transaction,0,NA,NA
19000022,1667218241335562,2022-10-31T12:10:41,4,Executed successfully,user_transaction,541,2000,101
19000023,1667218241335562,2022-10-31T12:10:41,8,Executed successfully,user_transaction,1770,2048,100
19000024,1667218241335562,2022-10-31T12:10:41,5,Executed successfully,user_transaction,592,1184,100
19000025,1667218241335562,2022-10-31T12:10:41,0,Executed successfully,state_checkpoint_transaction,0,NA,NA
19000026,1667218241574790,2022-10-31T12:10:41,3,Executed successfully,block_metadata_transaction,0,NA,NA
19000027,1667218241574790,2022-10-31T12:10:41,10,Executed successfully,user_transaction,3160,10000,101
19000028,1667218241574790,2022-10-31T12:10:41,8,Executed successfully,user_transaction,4094,8188,101
19000029,1667218241574790,2022-10-31T12:10:41,0,Executed successfully,state_checkpoint_transaction,0,NA,NA
19000030,1667218241773493,2022-10-31T12:10:41,3,Executed successfully,block_metadata_transaction,0,NA,NA
19000031,1667218241773493,2022-10-31T12:10:41,0,Executed successfully,state_checkpoint_transaction,0,NA,NA
19000032,1667218241965545,2022-10-31T12:10:41,3,Executed successfully,block_metadata_transaction,0,NA,NA
19000033,1667218241965545,2022-10-31T12:10:41,0,Executed successfully,state_checkpoint_transaction,0,NA,NA
19000034,1667218242430311,2022-10-31T12:10:42,3,Executed successfully,block_metadata_transaction,0,NA,NA
19000035,1667218242430311,2022-10-31T12:10:42,11,Executed successfully,user_transaction,3596,200000,150
19000036,1667218242430311,2022-10-31T12:10:42,0,Executed successfully,state_checkpoint_transaction,0,NA,NA
19000037,1667218242610910,2022-10-31T12:10:42,3,Executed successfully,block_metadata_transaction,0,NA,NA
19000038,1667218242610910,2022-10-31T12:10:42,4,Executed successfully,user_transaction,541,2000,101
19000039,1667218242610910,2022-10-31T12:10:42,14,Executed successfully,user_transaction,3321,200000,101
19000040,1667218242610910,2022-10-31T12:10:42,0,Executed successfully,state_checkpoint_transaction,0,NA,NA
19000041,1667218242849778,2022-10-31T12:10:42,3,Executed successfully,block_metadata_transaction,0,NA,NA
19000042,1667218242849778,2022-10-31T12:10:42,0,Executed successfully,state_checkpoint_transaction,0,NA,NA
19000043,1667218243053246,2022-10-31T12:10:43,3,Executed successfully,block_metadata_transaction,0,NA,NA
19000044,1667218243053246,2022-10-31T12:10:43,4,Executed successfully,user_transaction,541,2000,101
19000045,1667218243053246,2022-10-31T12:10:43,0,Executed successfully,state_checkpoint_transaction,0,NA,NA
